Defector,Bully,Tit For Tat,Alternator,Suspicious Tit For Tat,Anti Tit For Tat,Win-Stay Lose-Shift,Cooperator
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
3.28571428571,2.78785714286,2.355,2.25,2.21642857143,2.07142857143,1.91642857143,1.5
